Type,air_temp,process_temp,rotational_speed,torque,tool_wear,temp_difference,power,machine_failure,TWF,HDF,PWF,OSF,RNF
H,24.44080342651037,40.40983870840102,1140.1528196594588,42.43565926636204,93,15.969035281890648,5.066297022685939,1,0,1,0,0,0
L,22.27524096034098,27.567657199808785,1564.0331875995437,45.34641762749887,36,5.292416239467805,7.426523780958869,0,0,0,0,0,0
H,22.02607983792747,31.417406042660375,1744.5393043023062,63.252897628446334,17,9.391326204732906,11.554677070558613,1,0,0,1,0,0
H,21.18198099288406,37.19549100222512,1184.3892085352381,43.45920271214455,157,16.013510009341058,5.389802167938153,0,0,0,0,0,0
L,26.26591566521998,37.15194681114607,1609.9472374773884,44.33194603728855,154,10.88603114592609,7.473517702065902,0,0,0,0,0,0
L,30.11546183853799,31.41639197668788,1077.7973262359285,10.867134113267753,187,1.3009301381498908,1.2264469205368829,0,0,0,0,0,0
H,25.87047627437026,39.77876165455103,1324.849335017348,36.13414976535441,176,13.908285380180772,5.012806731732676,1,0,1,0,0,1
M,28.344093764008683,34.16239993335023,1243.2571484648017,42.03852657731797,112,5.818306169341547,5.472743317086714,0,0,0,0,0,0
H,27.26714658157804,34.04597196828728,1636.9329159148224,32.38482828495147,29,6.778825386709244,5.550972921035227,0,0,0,0,0,0
H,23.96332798025183,34.60789416444019,1832.9173287838519,42.13292245966703,172,10.64456618418836,8.086509286767544,0,0,0,0,0,0
H,27.53063196198125,41.693128852663435,1712.4229600927947,47.18677405929167,244,14.162496890682185,8.461122022182423,1,1,0,1,0,0
H,24.04285061697497,40.444766535717,1705.6504337171505,49.23605249427995,99,16.40191591874203,8.793664323705652,1,0,0,1,0,0
L,24.082584260923284,44.41568981893211,1313.7189430848225,38.90957736770243,20,20.333105558008825,5.3524867911387615,1,0,1,0,0,0
H,24.58281534812738,37.75238468920378,1616.5765692801797,24.424946816555583,181,13.1695693410764,4.134533688958982,1,0,1,0,0,0
M,24.677603955345738,44.65454493593535,1547.9006760164195,40.86338659070746,143,19.97694098058961,6.623294631212184,1,0,1,0,0,0
L,26.322738926372296,36.19054162627107,1264.9085497557785,35.798161782677525,208,9.867802699898775,4.741507948109881,1,1,0,0,0,0
M,23.65822652821839,34.36785314335256,1715.2063962487068,32.3257899163824,17,10.709626615134173,5.805801217630475,0,0,0,0,0,0
M,26.778205557165954,32.80932542636269,1586.7476433371976,37.17748396565675,161,6.031119869196736,6.177097912849455,0,0,0,0,0,0
M,26.749488166062942,34.11897154010083,1456.2354573282653,36.53189791063392,148,7.369483374037888,5.570580634655654,0,0,0,0,0,0
M,25.68592706488897,34.36412491565752,1664.2479885065852,37.81901071506659,203,8.678197850768552,6.590598168571578,1,1,0,0,0,0
L,28.87922381721489,31.5716591666932,1529.5897008750828,35.427802817297426,158,2.692435349478309,5.6743457920388884,0,0,0,0,0,0
L,27.574785297316616,32.04680132664006,1740.2397139438492,54.37981967181727,9,4.472016029323441,9.90931118638758,1,0,0,1,0,0
M,27.13945858040093,38.03773361817966,1877.604712762119,42.66188413974738,104,10.898275037778728,8.387660179696459,0,0,0,0,0,0
M,25.132306749086503,32.559458944309235,1444.1710495083553,42.703059644181714,246,7.427152195222732,6.457646331262387,1,1,0,0,0,0
L,25.703532275628653,26.49808752681865,1441.9653886916392,44.15637072255551,249,0.7945552511899976,6.667220761482919,1,1,0,0,0,0
L,26.047614726175507,26.243766880921356,1401.8452614779826,26.256644674652726,3,0.19615215474584957,3.854214965389846,0,0,0,0,0,0
L,25.026482747055212,24.513132832547118,1503.479253884166,50.144492142116796,14,-0.513349914508094,7.894366872484836,0,0,0,0,0,0
H,24.248861079383058,27.912528776212973,1770.1989420538102,72.5159667539782,52,3.663667696829915,13.44164268375932,0,0,0,0,0,0
H,20.188574514247378,29.00032573845055,1287.811868560299,30.37582702947344,186,8.81175122420317,4.096162362920484,0,0,0,0,0,0
H,26.435530818249646,30.129888321976463,1225.9151429010717,33.25341240601712,54,3.694357503726817,4.26867663054144,0,0,0,0,0,0
M,27.082894433766707,36.4301621174653,1547.1917406779812,34.51076937327255,189,9.347267683698593,5.591076161127741,0,0,0,0,0,0
H,22.677762287686328,28.640013079084,1492.5086025565122,42.98963311156626,169,5.962250791397672,6.718575627200097,0,0,0,0,0,0
M,26.210337299440983,30.402880189721586,1538.609554290676,38.64221665847452,232,4.192542890280603,6.225684162272169,0,0,0,0,0,0
M,23.81694664336495,25.84090196035227,1108.7115415754856,34.850601229566735,155,2.023955316987319,4.045996210896906,0,0,0,0,0,0
H,24.266941635185855,31.697985502261833,1808.2605495413927,45.859100479572,121,7.431043867075978,8.683267249703123,0,0,0,0,0,0
M,27.621521054726706,38.61944458574717,1541.061487308006,43.878034940130725,134,10.997923531020461,7.08049735968487,0,0,0,0,0,0
H,23.018731219571972,34.88313972926892,1989.378755897158,52.2267646441797,138,11.864408509696947,10.879457180353077,0,0,0,0,0,0
H,23.01570442261356,35.40994109331666,1582.7021095991465,41.44329416607413,156,12.394236670703101,6.868312995328118,0,0,0,0,0,0
L,28.609668731287996,34.990230005662774,1419.7134597893782,39.591962664492044,161,6.380561274374777,5.8857845334301455,0,0,0,0,0,0
H,24.708886602927233,28.575902909508006,1550.9913880595368,35.6599452396491,115,3.8670163065807728,5.7914416717665365,0,0,0,0,0,0
L,27.493091186462134,32.95622087830591,1795.9114269103836,42.351937676059954,249,5.463129691843779,7.964432337615965,0,0,0,0,0,0
H,21.80259427634213,36.10487684143587,1355.9066543528177,29.576001450923314,124,14.302282565093737,4.199193421618378,1,0,1,0,0,0
H,21.962793460818293,39.8477844596719,1616.8994201035841,50.87635329856665,115,17.884990998853606,8.613816350307589,1,0,1,1,0,0
L,23.17411096884316,36.81802332745781,1587.5544995107202,46.25836752796417,93,13.64391235861465,7.6898093726743575,0,0,0,0,0,0
L,24.037078446934622,39.40304734639898,1618.8130011451326,42.23627214520719,218,15.365968899464356,7.159437326551353,1,0,1,0,0,0
H,22.193426806693775,29.568817499079437,1318.2056308437761,35.972627577960154,24,7.375390692385661,4.965373846022323,0,0,0,0,0,0
M,25.73859295286,27.483300031669238,1627.5126699187292,56.38474387178779,183,1.7447070788092383,9.609097910100214,1,0,0,1,0,0
L,25.869188337313563,26.237896090252995,1612.465486812397,34.51872896321162,239,0.36870775293943225,5.828299382388504,1,1,0,0,0,0
M,23.203714244322924,39.08533268365821,1813.3511225021557,31.49779957028509,101,15.881618439335284,5.980792691845486,1,0,1,0,0,0
M,23.362802601218398,27.801509177073953,1854.590446190198,36.90845091686432,39,4.438706575855555,7.167545597287583,0,0,0,0,0,0
M,23.62643713229688,40.30852596444032,1574.5905355178738,48.269176779939336,214,16.682088832143442,7.958553813081843,1,0,1,0,0,0
L,22.67022840221392,32.77007441260139,1545.8307970341434,54.33015324475529,119,10.09984601038747,8.794264302966202,1,0,0,1,0,0
M,19.208884600044165,43.34379800470964,1307.882953537033,50.603887477596615,92,24.134913404665475,6.9302577816392406,1,0,0,0,0,1
L,24.82991938771027,32.75690573264074,1460.6543320110075,26.90505110364919,190,7.926986344930469,4.115076381939552,0,0,0,0,0,0
M,24.139124614598046,33.031015719192546,1408.846544565385,39.414372014027876,118,8.8918911045945,5.814534221798721,0,0,0,0,0,0
H,24.34370831034685,35.33484920034548,1695.136235854265,35.18790769165609,177,10.99114088999863,6.245895014871334,0,0,0,0,0,0
H,22.976392957982455,32.926910277114246,1561.4650062627588,43.97283930453924,10,9.95051731913179,7.189743434560593,0,0,0,0,0,0
L,26.620994998300535,37.090335081904996,1303.6113530430898,37.0800474765775,187,10.469340083604461,5.061567629512377,0,0,0,0,0,0
H,29.850783178834163,29.776400269210555,1331.663556318002,47.75165322570842,191,-0.07438290962360838,6.658548309383336,0,0,0,0,0,0
H,23.33183028795769,35.93167183810032,2010.385791517901,35.446077533765546,245,12.599841550142632,7.4618105381072395,1,1,0,0,0,0
M,27.799392277944698,31.24577434384206,1414.2689482370683,31.558685575200542,131,3.446382065897364,4.673556969233844,0,0,0,0,0,0
L,25.733299624294588,33.972286449303866,1635.4227167305762,53.07881467021781,227,8.238986825009277,9.089664846995431,1,1,0,0,0,0
M,25.070839783564868,28.12416755197951,1504.4337548306414,39.683001984794075,158,3.0533277684146434,6.25135577789901,0,0,0,0,0,0
M,24.31175452687434,39.36148026685292,1450.1311497942502,48.84603653935531,73,15.049725739978584,7.417084725623798,0,0,0,0,0,0
M,24.833566259532017,33.22081937829869,1734.488836567722,28.48205588279125,53,8.387253118766676,5.1729641854659105,0,0,0,0,0,0
M,27.299181379397254,39.5803754904845,1409.0617095350372,30.46911164099467,79,12.281194111087245,4.495587281348047,1,0,1,0,0,0
M,22.723838078086974,31.315203715941504,1439.6057069529938,27.32321804349037,55,8.59136563785453,4.11881263117589,0,0,0,0,0,0
M,24.449986537697097,34.95469832405455,1774.970053351901,32.259755187775205,116,10.50471178635745,5.995821925315668,0,0,0,0,0,0
M,27.498000415645006,39.62969577752036,1423.0598975327794,33.22918133657547,93,12.131695361875355,4.951530407112591,0,0,0,0,0,0
L,26.967429387055994,29.122566325590526,1218.7880056382778,32.35799452830121,98,2.1551369385345325,4.12958488142435,0,0,0,0,0,0
H,22.754828122099514,30.58836694281669,1274.4314200119265,39.60774312319905,43,7.833538820717177,5.2855866295252545,0,0,0,0,0,0
M,24.63481624443791,39.05285074497675,1602.896887483006,30.00356402725975,208,14.418034500538841,5.035876376198087,1,1,1,0,0,0
M,26.456015695668054,41.73716749175333,1359.7661039795676,32.42661527758885,4,15.281151796085279,4.6170274681938555,0,0,0,0,0,0
M,26.326856238642193,35.08105235831893,1725.9822842968645,42.17293859949426,194,8.754196119676735,7.621962816698063,0,0,0,0,0,0
M,26.950269042486575,30.152152210312362,1504.187749115385,59.61026980136455,79,3.2018831678257875,9.389009168238257,0,0,0,0,0,0
M,25.768571776334596,33.41034520450179,1652.465710148311,44.76771074294242,242,7.641773428167191,7.7462939188011015,0,0,0,0,0,0
M,26.103906295991568,44.848424211937235,1570.7640595022629,43.835399538444534,67,18.744517915945668,7.209954987320498,1,0,1,0,0,0
H,25.685592843854316,28.332224951908866,1711.9556114213985,37.32451005912586,136,2.6466321080545505,6.690880045997377,0,0,0,0,0,0
H,28.15946615505578,37.63993000277418,1876.7485545160202,20.19130358787868,3,9.480463847718397,3.967958096580675,0,0,0,0,0,0
M,24.156377641137563,35.62760687546719,1612.9476233499302,38.00357698332612,84,11.471229234329623,6.418615620319579,0,0,0,0,0,0
H,25.096382325890435,29.218079051913705,1603.1904763619339,29.775610286338072,201,4.12169672602327,4.998531396745721,0,0,0,0,0,0
L,22.97006233536458,33.431096478810524,1722.4307835721802,50.2297504727252,116,10.461034143445943,9.05939983930588,0,0,0,0,0,0
M,22.575956466391176,25.977179316008126,1387.2143175471895,55.71905682877449,94,3.40122284961695,8.093641192994918,0,0,0,0,0,0
L,25.649913402116763,36.44110239210859,1608.3060447756081,30.90379908403537,208,10.791188989991827,5.204478206637171,0,0,0,0,0,0
L,23.551627468116294,37.165095625502694,1315.6129012864237,39.78872233000457,15,13.6134681573864,5.481314808697091,1,0,1,0,0,0
M,24.884628794205288,28.169163573460064,1348.2184849162131,26.395496141798183,230,3.284534779254777,3.726376525330565,0,0,0,0,0,0
H,28.235498621048418,37.783150793915674,1404.8484731181804,48.282425764816864,110,9.547652172867256,7.102564619282186,0,0,0,0,0,0
L,28.119875404745642,31.674328366067638,1753.7168212540334,52.48418268424967,241,3.5544529613219957,9.637947018129667,1,0,0,1,0,0
M,29.4480895573766,31.22148442417386,1471.9383691446183,45.696373452222886,69,1.7733948667972577,7.043167059171559,0,0,0,0,0,0
L,28.275305016798242,30.123259815515084,1343.8648790554219,43.19663053872661,221,1.8479547987168417,6.078579547070951,1,1,0,0,0,0
L,29.80603638357098,38.308129033181054,1651.8508050172516,39.56061532975865,14,8.502092649610073,6.842747044967502,0,0,0,0,0,0
L,25.873059335625122,26.63079781315581,1170.5473938054188,44.944145683089324,106,0.7577384775306868,5.508822261377096,0,0,0,0,0,0
L,23.193958834710834,27.05325387216861,1125.7798394537042,37.26353584194292,179,3.859295037457777,4.392726429070142,0,0,0,0,0,0
H,22.99921486102904,32.03920016714446,1449.4097244915783,36.27374234490495,158,9.039985306115419,5.50528951815782,0,0,0,0,0,0
